timestamp,cpu_usage,memory_usage,error_rate,events_per_second
2026-01-17 05:00:00,80.88,55.88,0.2885,1620
2026-01-17 06:00:00,62.12,36.05,0.2862,1758
2026-01-17 07:00:00,59.59,41.23,0.2784,1493
2026-01-17 08:00:00,31.12,46.9,0.1007,1315
2026-01-17 09:00:00,67.39,59.42,0.2235,1641
2026-01-17 10:00:00,30.62,41.51,0.1184,1248
2026-01-17 11:00:00,44.66,41.01,0.2273,1281
2026-01-17 12:00:00,84.32,33.55,0.341,2038
2026-01-17 13:00:00,61.6,61.56,0.2727,1557
2026-01-17 14:00:00,56.2,41.45,0.2056,1541
2026-01-17 15:00:00,64.5,75.27,0.2093,1772
2026-01-17 16:00:00,74.79,72.98,0.3077,1807
2026-01-17 17:00:00,70.44,33.54,0.2817,1708
2026-01-17 18:00:00,34.89,41.9,0.1658,1495
2026-01-17 19:00:00,22.09,63.45,0.165,1294
2026-01-17 20:00:00,40.5,40.71,0.1869,1374
2026-01-17 21:00:00,37.4,36.62,0.113,1188
2026-01-17 22:00:00,33.71,76.78,0.1829,1196
2026-01-17 23:00:00,81.29,58.55,0.2738,1745
2026-01-18 00:00:00,76.96,53.63,0.2972,1660
2026-01-18 01:00:00,40.45,69.23,0.2153,1501
2026-01-18 02:00:00,62.6,70.37,0.2012,1561
2026-01-18 03:00:00,45.72,39.52,0.1487,1276
2026-01-18 04:00:00,79.45,34.85,0.249,1649
2026-01-18 05:00:00,49.83,51.55,0.2048,1603
2026-01-18 06:00:00,37.22,51.18,0.1389,1394
2026-01-18 07:00:00,36.03,53.35,0.1686,1336
2026-01-18 08:00:00,56.49,66.45,0.2412,1737
2026-01-18 09:00:00,37.08,63.67,0.1316,1330
2026-01-18 10:00:00,58.0,79.21,0.2374,1602
2026-01-18 11:00:00,78.36,34.92,0.2615,1893
2026-01-18 12:00:00,45.96,50.13,0.1867,1520
2026-01-18 13:00:00,34.26,46.97,0.1933,1201
2026-01-18 14:00:00,84.84,73.08,0.3391,1845
2026-01-18 15:00:00,53.12,42.43,0.1686,1626
2026-01-18 16:00:00,25.91,39.51,0.1201,1156
2026-01-18 17:00:00,23.06,52.43,0.0969,1160
2026-01-18 18:00:00,27.13,51.09,0.0817,1093
2026-01-18 19:00:00,60.78,43.93,0.2595,1769
2026-01-18 20:00:00,71.49,42.49,0.2782,1737
2026-01-18 21:00:00,47.44,76.16,0.1685,1274
2026-01-18 22:00:00,24.13,52.16,0.1465,1307
2026-01-18 23:00:00,44.81,73.07,0.1896,1523
2026-01-19 00:00:00,84.75,57.52,0.297,1998
2026-01-19 01:00:00,54.39,32.53,0.1641,1711
2026-01-19 02:00:00,83.12,79.96,0.2569,2010
2026-01-19 03:00:00,75.95,71.8,0.3162,1936
